epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0525,0.64422,2.1987,1.13906,0.77811,0.53953,0.82314,0.68435,0.47791,2.58156,0.97608,0.00034,0.00034,0.00034
2,182.752,0.70449,1.56657,1.14723,1,0.48614,0.8069,0.6681,0.60529,2.77095,1.08886,0.00068614,0.00068614,0.00068614
3,321.401,0.67613,1.88441,1.03105,0.70842,0.58974,0.69665,0.527,0.77409,2.51961,1.31263,0.00101802,0.00101802,0.00101802
4,442.709,0.8104,1.51908,1.15127,0.57964,0.58974,0.57887,0.34119,1.39272,3.30887,2.10808,0.00133565,0.00133565,0.00133565
5,474.323,0.87093,1.50213,1.21919,0.39431,0.35897,0.33795,0.16978,1.85646,3.9243,2.81686,0.00163902,0.00163902,0.00163902
6,503.061,0.83047,1.46332,1.20428,0.80692,0.4359,0.58164,0.37179,1.21336,3.02576,1.7229,0.001802,0.001802,0.001802
7,531.599,0.83668,1.42883,1.19438,0.55941,0.66667,0.58506,0.24943,1.32032,5.27574,1.93171,0.0017624,0.0017624,0.0017624
8,559.912,0.81102,1.38029,1.15874,1,0.53757,0.72286,0.43658,1.15946,2.26388,1.57264,0.0017228,0.0017228,0.0017228
9,588.739,0.77736,1.34153,1.20612,0.73707,0.74359,0.76837,0.46033,1.06688,3.53166,1.60993,0.0016832,0.0016832,0.0016832
10,617.559,0.82762,1.33854,1.19216,0.75305,0.71795,0.78755,0.57366,0.90452,2.13916,1.35656,0.0016436,0.0016436,0.0016436
11,647.059,0.76349,1.15311,1.14943,0.81672,0.84615,0.82757,0.6041,0.79865,2.05655,1.4194,0.001604,0.001604,0.001604
12,675.374,0.78698,1.13774,1.15531,0.7473,0.91004,0.90086,0.64816,0.81345,1.91371,1.35574,0.0015644,0.0015644,0.0015644
13,703.938,0.78317,1.23111,1.12694,0.70122,0.79487,0.86502,0.68483,0.65705,2.24912,1.21437,0.0015248,0.0015248,0.0015248
14,732.355,0.73451,1.09905,1.13394,0.89886,0.82051,0.89781,0.73138,0.60168,1.35414,1.17631,0.0014852,0.0014852,0.0014852
15,760.56,0.73292,1.03612,1.08868,0.762,0.82095,0.84331,0.71253,0.60926,1.40495,1.11592,0.0014456,0.0014456,0.0014456
16,788.62,0.6142,1.74743,1.00609,0.85981,0.79487,0.92793,0.76656,0.67155,1.43223,1.10373,0.001406,0.001406,0.001406
17,816.794,0.72264,0.9917,1.10254,0.95302,0.71795,0.86128,0.72891,0.58424,1.42564,1.12197,0.0013664,0.0013664,0.0013664
18,845.384,0.68573,0.98234,1.12031,0.83982,0.84615,0.9267,0.76569,0.63546,1.11838,1.1001,0.0013268,0.0013268,0.0013268
19,873.336,0.68586,0.88241,1.09532,0.80202,0.79487,0.90992,0.73453,0.62841,1.18288,1.10633,0.0012872,0.0012872,0.0012872
20,902.114,0.64003,0.8734,1.08178,0.75821,0.64331,0.7618,0.51615,0.86394,1.66256,1.29272,0.0012476,0.0012476,0.0012476
21,930.065,0.74672,0.91493,1.1406,0.77331,0.79487,0.86985,0.68282,0.69967,1.477,1.15128,0.001208,0.001208,0.001208
22,960.203,0.59963,0.76567,1.01269,0.93969,0.82051,0.88062,0.71892,0.67028,1.19134,1.20224,0.0011684,0.0011684,0.0011684
23,989.379,0.64366,0.81115,1.05342,0.88619,0.79874,0.90873,0.78229,0.54929,1.07685,1.06668,0.0011288,0.0011288,0.0011288
24,1019.9,0.64575,0.82297,1.04803,0.87604,0.97436,0.96213,0.84147,0.50069,0.90094,1.01259,0.0010892,0.0010892,0.0010892
25,1047.83,0.66797,0.80583,1.08554,0.79538,0.99677,0.95261,0.82543,0.49401,0.8343,0.99645,0.0010496,0.0010496,0.0010496
26,1075.86,0.6222,0.78973,1.04295,0.95613,0.92308,0.98556,0.85813,0.46163,0.78226,0.96087,0.00101,0.00101,0.00101
27,1104.04,0.59673,0.7166,1.0331,0.90111,0.93479,0.97795,0.86244,0.49311,0.7736,0.98088,0.0009704,0.0009704,0.0009704
28,1132.48,0.68611,0.76995,1.12265,0.88139,1,0.96536,0.85033,0.48808,0.8202,1.00082,0.0009308,0.0009308,0.0009308
29,1160.35,0.61046,0.68954,1.05559,0.92085,0.89499,0.96185,0.85325,0.47228,0.79671,0.99452,0.0008912,0.0008912,0.0008912
30,1189.39,0.55892,0.69828,0.99509,0.93969,0.92308,0.98332,0.88822,0.45895,0.68569,0.97188,0.0008516,0.0008516,0.0008516
31,1219.29,0.58218,0.68208,1.04902,0.90936,0.97436,0.98687,0.89501,0.43736,0.67117,0.96429,0.000812,0.000812,0.000812
32,1247.96,0.53657,0.65596,1.01618,1,0.89581,0.97738,0.90574,0.4225,0.69622,0.96129,0.0007724,0.0007724,0.0007724
33,1276.53,0.52736,0.64549,0.99649,1,0.95126,0.98407,0.88708,0.45583,0.71208,0.97762,0.0007328,0.0007328,0.0007328
34,1304.54,0.61468,0.71808,1.08755,0.99086,0.97436,0.99357,0.87639,0.44525,0.6418,0.97488,0.0006932,0.0006932,0.0006932
35,1332.78,0.56159,0.75968,1.0512,0.96749,0.97436,0.99326,0.8918,0.42375,0.61422,0.97261,0.0006536,0.0006536,0.0006536
36,1361.22,0.49752,0.63927,0.98053,1,0.96879,0.99357,0.91113,0.41558,0.60147,0.96341,0.000614,0.000614,0.000614
37,1390.13,0.49602,0.5929,0.98597,0.97474,0.98976,0.99375,0.89981,0.43864,0.58643,0.96734,0.0005744,0.0005744,0.0005744
38,1419.43,0.53034,0.62448,1.03129,0.95084,0.99194,0.99274,0.9155,0.40874,0.56483,0.93646,0.0005348,0.0005348,0.0005348
39,1447.3,0.51799,0.61075,1.01945,0.94433,1,0.98768,0.92247,0.36735,0.5704,0.92104,0.0004952,0.0004952,0.0004952
40,1475.12,0.483,0.5748,0.96473,0.92756,0.98507,0.99107,0.92996,0.38662,0.56645,0.92385,0.0004556,0.0004556,0.0004556
41,1502.69,0.36078,0.56415,0.89891,0.97437,0.94872,0.99375,0.92606,0.36014,0.57626,0.8992,0.000416,0.000416,0.000416
42,1530.03,0.3568,0.52367,0.86728,0.90291,0.97436,0.97645,0.89446,0.35928,0.68468,0.882,0.0003764,0.0003764,0.0003764
43,1557.42,0.37601,0.55432,0.8944,0.90657,0.99524,0.97855,0.88767,0.35647,0.68343,0.88721,0.0003368,0.0003368,0.0003368
44,1584.84,0.34469,0.49635,0.87576,0.9511,0.99742,0.98489,0.90877,0.32647,0.59823,0.88247,0.0002972,0.0002972,0.0002972
45,1612.48,0.32954,0.46089,0.86946,0.94796,1,0.98709,0.92472,0.31847,0.55484,0.87745,0.0002576,0.0002576,0.0002576
46,1639.97,0.32653,0.4557,0.84541,0.94511,1,0.99256,0.93099,0.32802,0.54343,0.8752,0.000218,0.000218,0.000218
47,1667.65,0.29434,0.43313,0.84086,0.94486,1,0.99256,0.93389,0.33075,0.51501,0.88245,0.0001784,0.0001784,0.0001784
48,1695.26,0.31898,0.43452,0.86023,0.9511,0.9975,0.99326,0.92674,0.32849,0.502,0.89122,0.0001388,0.0001388,0.0001388
49,1722.91,0.30248,0.43922,0.88468,0.9511,0.99759,0.99326,0.9309,0.32604,0.49217,0.89308,9.92e-05,9.92e-05,9.92e-05
50,1750.49,0.28037,0.40791,0.84225,0.9511,0.99745,0.99326,0.92699,0.32946,0.48805,0.89557,5.96e-05,5.96e-05,5.96e-05
